Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2016-02-23,131.69677734375,133.55702586469846,131.1812858911519,133.55702586469846,9198036
2016-02-24,128.91757202148438,132.41394353765065,128.2003635099006,131.33813609768956,14353186
2016-02-25,128.2900390625,130.12788024998815,127.30388115615254,127.57283040656606,15129076
2016-02-26,130.4192657470703,130.8899323678597,127.81940110258314,129.545175160533,12468580
2016-02-29,132.5260467529297,135.21557162144794,120.13185507782725,129.9934249527285,79431944
2016-03-01,145.8391571044922,146.57877288904456,136.7172042337393,136.7172042337393,67402048
2016-03-02,143.2393035888672,149.67174353362742,142.74622987756547,147.02704348123711,24680589
2016-03-03,142.6117706298828,145.68230207348105,141.98421154744014,144.7857936649205,10227569
2016-03-04,141.28939819335938,144.22545451116963,141.08768090314493,143.4410137728716,11818471
2016-03-08,143.55308532714844,145.23403450461387,141.64801172365435,141.64801172365435,13109801
2016-03-09,143.39622497558594,143.7548241107961,140.16880079418863,142.09629245561382,20903665
2016-03-10,141.6928253173828,144.24787553499897,140.23600068204016,143.32894947926005,13915900
2016-03-11,144.0237274169922,144.33751221481756,141.19973882038693,141.69281247366246,12149994
2016-03-14,145.7047119140625,146.13055368246134,144.3375474866517,144.5616719292736,7708725
2016-03-15,141.87213134765625,146.1305379173987,141.19975809232847,146.1305379173987,16209915
2016-03-16,144.35992431640625,144.9650655119424,141.64799249256552,141.89453465514165,9728463
2016-03-17,145.0771484375,145.68228969727357,144.11339745186677,144.89784890198683,13035516
2016-03-18,145.57020568847656,146.4891316862524,144.3375161938893,145.8615727281331,14383934
2016-03-21,148.573486328125,150.70268379277613,146.2425716061464,146.46669597271534,16781906
2016-03-22,144.8529815673828,148.28211081621203,144.4495470758757,147.25112813431863,19781991
2016-03-23,145.34609985351562,145.7271166994362,143.59791870201752,145.68229181490634,16015333
2016-03-28,144.53921508789062,147.83388079578782,143.57547491770322,146.57877360153273,17073110
2016-03-29,143.44100952148438,146.60119014874044,142.99275007371944,143.9565009607731,18701607
2016-03-30,146.73565673828125,147.58734005297143,143.70995091486265,143.70995091486265,14435320
2016-03-31,147.13906860351562,149.044141557574,145.63741947878242,146.0408433081076,28529105
2016-04-01,150.6354522705078,150.9716441488039,145.90638017471423,146.17532941541876,14850746
2016-04-04,148.23731994628906,149.26830286465642,146.15294699645906,146.57878869359624,14209372
2016-04-05,146.332275390625,148.0804674050999,145.32371004120452,147.07189140084466,8964083
2016-04-06,146.085693359375,147.43046099858833,145.68226946051013,146.51153502448165,6892514
2016-04-07,143.19447326660156,146.57878908480356,142.99275597404224,146.57878908480356,10412846
2016-04-08,143.97891235351562,144.53922868875588,142.99275432491285,143.216889382875,4985755
2016-04-11,146.6908416748047,147.1615082404712,142.09625419997158,144.33751950130454,14365804
2016-04-12,144.516845703125,145.9736705489349,143.88928661475782,145.68230344880604,6187731
2016-04-13,148.48387145996094,149.13383760310157,145.45816516347293,145.6822895826881,12397612
2016-04-18,150.3441162109375,151.6664662321599,148.39421783223645,150.1648166802293,14746380
2016-04-20,150.388916015625,151.64402317612087,149.0889839799268,150.32168403023718,9345601
2016-04-21,147.90113830566406,150.83720550896223,146.84774820088157,150.43377089683977,7212220
